state,population,age65PlusPct,popGrowth5yrPct,medianHouseholdIncome
AL,5108468,17.7,1.5,60660
AK,733406,13.8,-0.6,89740
AZ,7497004,18.6,6.2,73450
AR,3088354,17.8,1.8,56335
CA,39060000,15.6,-0.6,91905
CO,5957493,15.7,4.0,87598
CT,3617176,18.3,1.0,90213
DE,1031890,20.1,5.6,79325
DC,687324,13.0,0.7,101027
FL,22610726,21.6,5.5,69303
GA,11029227,15.5,3.6,71355
HI,1435138,20.1,-1.5,94814
ID,1964726,17.0,9.0,74636
IL,12549689,17.7,-1.7,78433
IN,6862199,16.8,1.7,67173
IA,3207004,17.9,0.7,70571
KS,2940546,17.3,0.4,69747
KY,4526154,17.7,0.7,60183
LA,4573749,17.0,-1.6,57650
ME,1395722,22.4,2.7,68251
MD,6164660,17.1,0.7,98461
MA,7001399,18.1,0.8,96505
MI,10037261,18.6,0.0,68505
MN,5737915,17.0,1.2,84313
MS,2940057,17.3,-1.0,54915
MO,6196156,17.9,1.0,65920
MT,1132812,20.5,5.0,69922
NE,1978379,16.5,1.4,71722
NV,3194176,17.4,5.0,77719
NH,1402054,20.1,2.5,90845
NJ,9290841,17.7,0.6,99781
NM,2114371,19.4,0.2,62268
NY,19571216,17.7,-3.0,81386
NC,10835491,17.4,4.5,70804
ND,783926,16.4,1.3,73959
OH,11785935,18.5,0.4,67769
OK,4053824,16.8,2.5,62138
OR,4233358,19.1,0.4,80426
PA,12972008,19.6,0.0,73824
RI,1095962,19.6,1.8,81854
SC,5373555,18.7,5.0,67804
SD,919318,17.7,3.7,69457
TN,7126489,17.5,3.8,67631
TX,30503301,13.5,6.4,73035
UT,3417734,12.0,7.5,89168
VT,647464,21.9,1.3,74014
VA,8715698,16.8,1.6,87249
WA,7812880,16.9,2.6,90325
WV,1770071,21.1,-1.8,55217
WI,5910955,18.4,0.7,72458
WY,584057,18.1,0.6,72495
